SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1961P1319	22_B_7.root	22_B_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	28	ril	b22	p214	M1961	BCMA
M1690P1406	22_B_9.root	22_B_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	135	ril	b22	p215	M1690	BCMA
M1977P1733	22_C_1.root	22_C_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	169	ril	b22	p217	M1977	BCMA
M1956P913	22_C_10.root	22_C_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	9	ril	b22	p209	M1956	BCMA
M1957P935	22_C_11.root	22_C_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	79	ril	b22	p210	M1957	BCMA
M1959P1146	22_C_2.root	22_C_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	SAD12	ril	b22	p212	M1959	BCMA
M1960P1205	22_C_4.root	22_C_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	180	ril	b22	p213	M1960	BCMA
M1690P1402	22_C_5.root	22_C_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	47	ril	b22	p215	M1690	BCMA
M1957P975	22_C_7.root	22_C_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	145	ril	b22	p210	M1957	BCMA
M1956P916	22_C_8.root	22_C_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	103	ril	b22	p209	M1956	BCMA
M1959P1136	22_D_1.root	22_D_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b22	p212	M1959	BCMA
M1960P1239	22_D_10.root	22_D_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	190	ril	b22	p213	M1960	BCMA
M1961P1336	22_D_12.root	22_D_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	188	ril	b22	p214	M1961	BCMA
M1957P1001	22_D_2.root	22_D_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b22	p210	M1957	BCMA
M1958P1053	22_D_3.root	22_D_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	105	ril	b22	p211	M1958	BCMA
M1955P811	22_D_4.root	22_D_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	148	ril	b22	p208	M1955	BCMA
M1960P1223	22_D_5.root	22_D_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	73	ril	b22	p213	M1960	BCMA
M1961P1366	22_D_6.root	22_D_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	30	ril	b22	p214	M1961	BCMA
M1958P1027	22_D_7.root	22_D_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	2	ril	b22	p211	M1958	BCMA
M1958P1083	22_D_8.root	22_D_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	4	ril	b22	p211	M1958	BCMA
M1956P893	23_A_1.root	23_A_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b23	p209	M1956	BCMA
M1959P1142	23_A_10.root	23_A_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	5	ril	b23	p212	M1959	BCMA
M1959P1134	23_A_11.root	23_A_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	77	ril	b23	p212	M1959	BCMA
M1957P997	23_A_12.root	23_A_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	152	ril	b23	p210	M1957	BCMA
M1955P795	23_A_2.root	23_A_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	3	ril	b23	p208	M1955	BCMA
M1959P1114	23_A_3.root	23_A_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	76	ril	b23	p212	M1959	BCMA
M1958P1090	23_A_5.root	23_A_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	37	ril	b23	p211	M1958	BCMA
M1957P979	23_A_6.root	23_A_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	90	ril	b23	p210	M1957	BCMA
M1957P974	23_A_8.root	23_A_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	140	ril	b23	p210	M1957	BCMA
M1956P831	23_A_9.root	23_A_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	48	ril	b23	p209	M1956	BCMA
M1977P1723	23_B_1.root	23_B_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	127	ril	b23	p217	M1977	BCMA
M1960P1270	23_B_11.root	23_B_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	112	ril	b23	p213	M1960	BCMA
M1690P1409	23_B_12.soil	23_B_12	soil	rilGH	NA	2012	NA	GRH	GRHsoil	NA	soil	b23	p215	M1690	BCMA
M1957P944	23_B_3.root	23_B_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	174	ril	b23	p210	M1957	BCMA
M1977P1732	23_B_4.root	23_B_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	160	ril	b23	p217	M1977	BCMA
M1959P1194	23_B_5.soil	23_B_5	soil	rilGH	NA	2012	NA	GRH	GRHsoil	NA	soil	b23	p212	M1959	BCMA
M1957P940	23_B_6.root	23_B_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	11	ril	b23	p210	M1957	BCMA
M1957P1009	23_B_7.soil	23_B_7	soil	rilGH	NA	2012	NA	GRH	GRHsoil	NA	soil	b23	p210	M1957	BCMA
M1961P1368	23_B_9.root	23_B_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	179	ril	b23	p214	M1961	BCMA
M1959P1138	23_C_1.root	23_C_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	143	ril	b23	p212	M1959	BCMA
M1956P829	23_C_10.root	23_C_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	125	ril	b23	p209	M1956	BCMA
M1957P921	23_C_11.root	23_C_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	129	ril	b23	p210	M1957	BCMA
M1958P1021	23_C_12.root	23_C_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	40	ril	b23	p211	M1958	BCMA
M1959P1196	23_C_3.root	23_C_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	106	ril	b23	p212	M1959	BCMA
M1959P1165	23_C_4.root	23_C_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	42	ril	b23	p212	M1959	BCMA
M1957P951	23_C_5.root	23_C_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	194	ril	b23	p210	M1957	BCMA
M1961P1362	23_C_6.root	23_C_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	122	ril	b23	p214	M1961	BCMA
M1961P1351	23_C_7.root	23_C_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	155	ril	b23	p214	M1961	BCMA
M1958P1081	23_C_8.root	23_C_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	139	ril	b23	p211	M1958	BCMA
M1959P1115	23_D_11.root	23_D_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	115	ril	b23	p212	M1959	BCMA
M1956P851	23_D_12.root	23_D_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	26	ril	b23	p209	M1956	BCMA
M1961P1376	23_D_2.root	23_D_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	170	ril	b23	p214	M1961	BCMA
M1958P1067	23_D_3.root	23_D_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	72	ril	b23	p211	M1958	BCMA
M1957P934	23_D_5.root	23_D_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	156	ril	b23	p210	M1957	BCMA
M1956P858	23_D_7.root	23_D_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	123	ril	b23	p209	M1956	BCMA
M1958P1036	23_D_8.root	23_D_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	100	ril	b23	p211	M1958	BCMA
M1958P1050	24_A_11.root	24_A_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	182	ril	b24	p211	M1958	BCMA
M1957P932	24_A_2.root	24_A_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	87	ril	b24	p210	M1957	BCMA
M1977P1738	24_A_4.root	24_A_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	109	ril	b24	p217	M1977	BCMA
M1958P1054	24_A_5.root	24_A_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	45	ril	b24	p211	M1958	BCMA
M1958P1016	24_A_6.root	24_A_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	118	ril	b24	p211	M1958	BCMA
M1960P1233	24_A_7.root	24_A_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b24	p213	M1960	BCMA
M1959P1189	24_A_8.root	24_A_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	114	ril	b24	p212	M1959	BCMA
M1961P1335	24_A_9.root	24_A_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	50	ril	b24	p214	M1961	BCMA
M1961P1357	24_B_1.root	24_B_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	27	ril	b24	p214	M1961	BCMA
M1957P980	24_B_10.root	24_B_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	22	ril	b24	p210	M1957	BCMA
M1958P1094	24_B_11.root	24_B_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	57	ril	b24	p211	M1958	BCMA
M1955P805	24_B_2.root	24_B_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	53	ril	b24	p208	M1955	BCMA
M1956P859	24_B_4.root	24_B_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	124	ril	b24	p209	M1956	BCMA
M1960P1259	24_B_5.root	24_B_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	29	ril	b24	p213	M1960	BCMA
M1960P1247	24_B_6.root	24_B_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	142	ril	b24	p213	M1960	BCMA
M1961P1290	24_B_7.root	24_B_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b24	p214	M1961	BCMA
M1958P1024	24_B_8.root	24_B_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	146	ril	b24	p211	M1958	BCMA
M1690P1383	24_B_9.root	24_B_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	116	ril	b24	p215	M1690	BCMA
M1955P808	24_C_1.root	24_C_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	70	ril	b24	p208	M1955	BCMA
M1690P1405	24_C_10.root	24_C_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	68	ril	b24	p215	M1690	BCMA
M1977P1726	24_C_11.root	24_C_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b24	p217	M1977	BCMA
M1977P1746	24_C_5.root	24_C_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	113	ril	b24	p217	M1977	BCMA
M1957P996	24_C_6.root	24_C_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	66	ril	b24	p210	M1957	BCMA
M1955P791	24_C_8.root	24_C_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	65	ril	b24	p208	M1955	BCMA
M1956P839	24_D_1.root	24_D_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	138	ril	b24	p209	M1956	BCMA
M1958P1099	24_D_12.soil	24_D_12	soil	rilGH	NA	2012	NA	GRH	GRHsoil	NA	soil	b24	p211	M1958	BCMA
M1961P1379	24_D_2.root	24_D_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	36	ril	b24	p214	M1961	BCMA
M1690P1400	24_D_4.root	24_D_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	150	ril	b24	p215	M1690	BCMA
M1958P1056	24_D_5.root	24_D_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	98	ril	b24	p211	M1958	BCMA
M1956P872	24_D_6.root	24_D_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	23	ril	b24	p209	M1956	BCMA
M1961P1294	24_D_6.root	24_D_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	23	ril	b24	p209	M1961	BCMA
M1957P950	24_D_8.root	24_D_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	16	ril	b24	p210	M1957	BCMA
M1977P1721	24_D_9.root	24_D_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	136	ril	b24	p217	M1977	BCMA
M1957P1008	3_A_10.root	3_A_10	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par13A	PAR	b03	p210	M1957	Ecotypes
M1690P1389	3_A_4.root	3_A_4	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silUpp2B	SIL	b03	p215	M1690	Ecotypes
M1958P1093	3_A_6.root	3_A_6	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par22A2	PAR	b03	p211	M1958	Ecotypes
M1977P1724	3_A_8.root	3_A_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil70A	MIL	b03	p217	M1977	Ecotypes
M1958P1013	3_A_9.root	3_A_9	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow3	SIL	b03	p211	M1958	Ecotypes
M1958P1102	3_B_1.root	3_B_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par13A	PAR	b03	p211	M1958	Ecotypes
M1977P1747	3_B_10.root	3_B_10	root	ecoGH	NA	2011	NA	Duke	MAHsoil	jam6A	JAM	b03	p217	M1977	Ecotypes
M1960P1271	3_B_5.root	3_B_5	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silUpp2B	SIL	b03	p213	M1960	Ecotypes
M1959P1187	3_B_6.soil	3_B_6	soil	ecoGH	NA	2011	NA	Duke	MAHsoil	soil	soil	b03	p212	M1959	Ecotypes
M1959P1170	3_B_7.soil	3_B_7	soil	ecoGH	NA	2011	NA	Duke	MAHsoil	soil	soil	b03	p212	M1959	Ecotypes
M1955P812	3_B_8.root	3_B_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par22A2	PAR	b03	p208	M1955	Ecotypes
M1957P959	3_C_1.root	3_C_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b03	p210	M1957	Ecotypes
M1957P948	3_C_2.root	3_C_2	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah48A	MAH	b03	p210	M1957	Ecotypes
M1956P920	3_C_4.root	3_C_4	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow6B	SIL	b03	p209	M1956	Ecotypes
M1957P945	3_C_5.root	3_C_5	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah38B	MAH	b03	p210	M1957	Ecotypes
M1957P977	3_C_7.root	3_C_7	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par10A6	PAR	b03	p210	M1957	Ecotypes
M1959P1141	3_C_8.root	3_C_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow2	SIL	b03	p212	M1959	Ecotypes
M1955P806	3_C_9.root	3_C_9	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silUpp2B	SIL	b03	p208	M1955	Ecotypes
M1956P896	3_D_10.root	3_D_10	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b03	p209	M1956	Ecotypes
M1958P1072	3_D_2.root	3_D_2	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b03	p211	M1958	Ecotypes
M1957P957	3_D_6.root	3_D_6	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah38B	MAH	b03	p210	M1957	Ecotypes
M1961P1344	3_D_7.root	3_D_7	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par22A2	PAR	b03	p214	M1961	Ecotypes
M1957P927	3_D_8.root	3_D_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par10A6	PAR	b03	p210	M1957	Ecotypes
M1957P1007	4_A_5.root	4_A_5	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b04	p210	M1957	Ecotypes
M1959P1128	4_A_8.root	4_A_8	root	ecoGH	NA	2011	NA	Duke	MILsoil	par22A2	PAR	b04	p212	M1959	Ecotypes
M1959P1184	4_B_10.soil	4_B_10	soil	ecoGH	NA	2011	NA	Duke	MILsoil	soil	soil	b04	p212	M1959	Ecotypes
M1961P1342	4_B_7.root	4_B_7	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam1A	JAM	b04	p214	M1961	Ecotypes
M1977P1745	4_C_2.root	4_C_2	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b04	p217	M1977	Ecotypes
M1955P793	4_C_7.root	4_C_7	root	ecoGH	NA	2011	NA	Duke	MILsoil	par9A2	PAR	b04	p208	M1955	Ecotypes
M1956P848	4_D_1.root	4_D_1	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b04	p209	M1956	Ecotypes
M1955P785	4_D_11.root	4_D_11	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam6A	JAM	b04	p208	M1955	Ecotypes
M1958P1014	4_D_2.root	4_D_2	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam1A	JAM	b04	p211	M1958	Ecotypes
M1961P1324	4_D_3.soil	4_D_3	soil	ecoGH	NA	2011	NA	Duke	MILsoil	soil	soil	b04	p214	M1961	Ecotypes
M1960P1275	4_D_4.root	4_D_4	root	ecoGH	NA	2011	NA	Duke	MILsoil	silUpp2B	SIL	b04	p213	M1960	Ecotypes
M1959P1167	4_D_6.root	4_D_6	root	ecoGH	NA	2011	NA	Duke	MILsoil	silUpp2B	SIL	b04	p212	M1959	Ecotypes
M1961P1373	5_A_7.root	5_A_7	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow6B	SIL	b05	p214	M1961	Ecotypes
M1958P1015	5_A_8.root	5_A_8	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam6A	JAM	b05	p211	M1958	Ecotypes
M1955P774	5_B_4.root	5_B_4	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam6A	JAM	b05	p208	M1955	Ecotypes
M1957P967	5_B_5.root	5_B_5	root	ecoGH	NA	2011	NA	Duke	MILsoil	par9A2	PAR	b05	p210	M1957	Ecotypes
M1961P1339	5_B_7.root	5_B_7	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah16A	MAH	b05	p214	M1961	Ecotypes
M1955P828	5_B_8.root	5_B_8	root	ecoGH	NA	2011	NA	Duke	MILsoil	mil70A	MIL	b05	p208	M1955	Ecotypes
M1959P1139	5_B_9.soil	5_B_9	soil	ecoGH	NA	2011	NA	Duke	MILsoil	soil	soil	b05	p212	M1959	Ecotypes
M1960P1208	5_C_1.root	5_C_1	root	ecoGH	NA	2011	NA	Duke	MILsoil	par13A	PAR	b05	p213	M1960	Ecotypes
M1959P1166	5_C_4.root	5_C_4	root	ecoGH	NA	2011	NA	Duke	MILsoil	mil54A	MIL	b05	p212	M1959	Ecotypes
M1958P1038	5_D_10.root	5_D_10	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow3	SIL	b05	p211	M1958	Ecotypes
M1956P890	5_D_11.root	5_D_11	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b05	p209	M1956	Ecotypes
M1955P786	5_D_3.root	5_D_3	root	ecoGH	NA	2011	NA	Duke	MILsoil	par10A6	PAR	b05	p208	M1955	Ecotypes
M1958P1030	5_D_6.root	5_D_6	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b05	p211	M1958	Ecotypes
M1958P1078	5_D_9.root	5_D_9	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow2	SIL	b05	p211	M1958	Ecotypes
M1961P1310	6_A_1.root	6_A_1	root	ecoGH	NA	2011	NA	Duke	MILsoil	mil32A1	MIL	b06	p214	M1961	Ecotypes
M1958P1064	6_A_11.root	6_A_11	root	ecoGH	NA	2011	NA	Duke	MILsoil	silUpp2B	SIL	b06	p211	M1958	Ecotypes
M1957P953	6_A_8.root	6_A_8	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow6B	SIL	b06	p210	M1957	Ecotypes
M1957P943	6_B_12.root	6_B_12	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam1A	JAM	b06	p210	M1957	Ecotypes
M1958P1051	6_B_2.soil	6_B_2	soil	ecoGH	NA	2011	NA	Duke	MILsoil	soil	soil	b06	p211	M1958	Ecotypes
M1956P834	6_B_8.root	6_B_8	root	ecoGH	NA	2011	NA	Duke	MILsoil	silUpp2B	SIL	b06	p209	M1956	Ecotypes
M1690P1398	6_C_10.root	6_C_10	root	ecoGH	NA	2011	NA	Duke	MILsoil	par10A6	PAR	b06	p215	M1690	Ecotypes
M1959P1116	6_C_11.root	6_C_11	root	ecoGH	NA	2011	NA	Duke	MILsoil	mil24A	MIL	b06	p212	M1959	Ecotypes
M1957P924	6_C_5.root	6_C_5	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow3	SIL	b06	p210	M1957	Ecotypes
M1956P833	6_C_7.root	6_C_7	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow6B	SIL	b06	p209	M1956	Ecotypes
M1956P841	6_C_9.soil	6_C_9	soil	ecoGH	NA	2011	NA	Duke	MILsoil	soil	soil	b06	p209	M1956	Ecotypes
M1960P1226	6_D_1.root	6_D_1	root	ecoGH	NA	2011	NA	Duke	MILsoil	jam6A	JAM	b06	p213	M1960	Ecotypes
M1960P1257	6_D_10.root	6_D_10	root	ecoGH	NA	2011	NA	Duke	MILsoil	silLow6B	SIL	b06	p213	M1960	Ecotypes
M1960P1213	6_D_11.root	6_D_11	root	ecoGH	NA	2011	NA	Duke	MILsoil	par22A2	PAR	b06	p213	M1960	Ecotypes
M1960P1273	6_D_12.root	6_D_12	root	ecoGH	NA	2011	NA	Duke	MILsoil	par13A	PAR	b06	p213	M1960	Ecotypes
M1957P976	6_D_3.root	6_D_3	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b06	p210	M1957	Ecotypes
M1960P1203	6_D_4.root	6_D_4	root	ecoGH	NA	2011	NA	Duke	MILsoil	mah48A	MAH	b06	p213	M1960	Ecotypes
M1957P988	6_D_9.root	6_D_9	root	ecoGH	NA	2011	NA	Duke	MILsoil	silUpp2B	SIL	b06	p210	M1957	Ecotypes
M1956P909	7_A_8.root	7_A_8	root	ecoGH	NA	2011	NA	Duke	PARsoil	silLow3	SIL	b07	p209	M1956	Ecotypes
M1958P1052	7_A_9.soil	7_A_9	soil	ecoGH	NA	2011	NA	Duke	PARsoil	soil	soil	b07	p211	M1958	Ecotypes
M1958P1034	7_B_4.soil	7_B_4	soil	ecoGH	NA	2011	NA	Duke	PARsoil	soil	soil	b07	p211	M1958	Ecotypes
M1551P35	8_0008.leaf	8_0008	leaf	ecotypes	2008	2011	3	Par	field	MIL.53.A	MIL	8_01	p200	M1551	Ecotypes
M1551P77	8_0008.root	8_0008	root	ecotypes	2008	2011	3	Par	field	MIL.53.A	MIL	8_01	p200	M1551	Ecotypes
M1555P268	8_0016.leaf	8_0016	leaf	ecotypes	2008	2011	3	Par	field	PAR.17.A1	PAR	8_01	p202	M1555	Ecotypes
M1555P195	8_0016.root	8_0016	root	ecotypes	2008	2011	3	Par	field	PAR.17.A1	PAR	8_01	p202	M1555	Ecotypes
M1551P40	8_0019.leaf	8_0019	leaf	ecotypes	2008	2011	3	Par	field	MAH.16.A	MAH	8_01	p200	M1551	Ecotypes
M1554P153	8_0019.root	8_0019	root	ecotypes	2008	2011	3	Par	field	MAH.16.A	MAH	8_01	p201	M1554	Ecotypes
M1551P8	8_0024.leaf	8_0024	leaf	ecotypes	2008	2011	3	Par	field	MAH.8.A1	MAH	8_01	p200	M1551	Ecotypes
M1979P394	8_0024.root	8_0024	root	ecotypes	2008	2011	3	Par	field	MAH.8.A1	MAH	8_01	p204	M1979	Ecotypes
M1551P20	8_0028.leaf	8_0028	leaf	ecotypes	2008	2011	3	Par	field	MAH.38.B	MAH	8_01	p200	M1551	Ecotypes
M1977P1719	8_0028.root	8_0028	root	ecotypes	2008	2011	3	Par	field	MAH.38.B	MAH	8_01	p217	M1977	Ecotypes
M1555P271	8_0032.leaf	8_0032	leaf	ecotypes	2008	2011	3	Par	field	MIL.24.A	MIL	8_01	p202	M1555	Ecotypes
M1554P161	8_0032.root	8_0032	root	ecotypes	2008	2011	3	Par	field	MIL.24.A	MIL	8_01	p201	M1554	Ecotypes
M1977P1696	8_0034.leaf	8_0034	leaf	ecotypes	2008	2011	3	Par	field	JAM.22.A	JAM	8_01	p217	M1977	Ecotypes
M1978P353	8_0034.root	8_0034	root	ecotypes	2008	2011	3	Par	field	JAM.22.A	JAM	8_01	p203	M1978	Ecotypes
M1980P531	8_0039.root	8_0039	root	ecotypes	2008	2012	4	Par	field	JAM.7.B	JAM	8_01	p205	M1980	Ecotypes
M1955P750	8_0048.leaf	8_0048	leaf	ecotypes	2008	2011	3	Par	field	SILLow.1	SIL	8_01	p208	M1955	Ecotypes
M1555P273	8_0050.leaf	8_0050	leaf	ecotypes	2008	2012	4	Mah	field	JAM.17.A	JAM	8_02	p202	M1555	Ecotypes
M1957P969	8_0050.root	8_0050	root	ecotypes	2008	2012	4	Mah	field	JAM.17.A	JAM	8_02	p210	M1957	Ecotypes
M1959P1108	8_0051.root	8_0051	root	ecotypes	2008	2012	4	Mah	field	JAM.22.A	JAM	8_02	p212	M1959	Ecotypes
M1981P563	8_0053.leaf	8_0053	leaf	ecotypes	2008	2011	3	Mah	field	MAH.8.A1	MAH	8_02	p206	M1981	Ecotypes
M1977P1709	8_0053.root	8_0053	root	ecotypes	2008	2011	3	Mah	field	MAH.8.A1	MAH	8_02	p217	M1977	Ecotypes
M1554P148	8_0059.leaf	8_0059	leaf	ecotypes	2008	2012	4	Mah	field	SILLow.3	SIL	8_02	p201	M1554	Ecotypes
M1980P502	8_0074.leaf	8_0074	leaf	ecotypes	2008	2011	3	Mah	field	JAM.15.A	JAM	8_02	p205	M1980	Ecotypes
M1981P606	8_0074.root	8_0074	root	ecotypes	2008	2011	3	Mah	field	JAM.15.A	JAM	8_02	p206	M1981	Ecotypes
M1978P310	8_0082.leaf	8_0082	leaf	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_02	p203	M1978	Ecotypes
M1956P875	8_0082.root	8_0082	root	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_02	p209	M1956	Ecotypes
M1959P1144	8_0086.leaf	8_0086	leaf	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_02	p212	M1959	Ecotypes
M1960P1231	8_0086.root	8_0086	root	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_02	p213	M1960	Ecotypes
M1981P599	8_0087.leaf	8_0087	leaf	ecotypes	2008	2011	3	Mah	field	MIL.20.B	MIL	8_02	p206	M1981	Ecotypes
M1981P611	8_0087.root	8_0087	root	ecotypes	2008	2011	3	Mah	field	MIL.20.B	MIL	8_02	p206	M1981	Ecotypes
M1551P43	8_0088.leaf	8_0088	leaf	ecotypes	2008	2012	4	Mah	field	MIL.32.A1	MIL	8_02	p200	M1551	Ecotypes
M1690P1382	8_0088.root	8_0088	root	ecotypes	2008	2012	4	Mah	field	MIL.32.A1	MIL	8_02	p215	M1690	Ecotypes
M1981P587	8_0090.leaf	8_0090	leaf	ecotypes	2008	2011	3	Mah	field	SILLow.5	SIL	8_02	p206	M1981	Ecotypes
M1982P729	8_0090.root	8_0090	root	ecotypes	2008	2011	3	Mah	field	SILLow.5	SIL	8_02	p207	M1982	Ecotypes
M1979P447	8_0096.leaf	8_0096	leaf	ecotypes	2008	2011	3	Mah	field	PAR.9.A1	PAR	8_02	p204	M1979	Ecotypes
M1982P701	8_0096.root	8_0096	root	ecotypes	2008	2011	3	Mah	field	PAR.9.A1	PAR	8_02	p207	M1982	Ecotypes
M1981P643	8_0098.root	8_0098	root	ecotypes	2008	2011	3	Mil	field	MAH.8.A1	MAH	8_03	p206	M1981	Ecotypes
