SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1955P823	11_D_6.soil	11_D_6	soil	ecoGH	NA	2011	NA	Duke	SILsoil	soil	soil	b11	p208	M1955	Ecotypes
M1960P1280	11_D_7.root	11_D_7	root	ecoGH	NA	2011	NA	Duke	SILsoil	mah16A	MAH	b11	p213	M1960	Ecotypes
M1977P1741	12_A_1.root	12_A_1	root	ecoGH	NA	2011	NA	Duke	SILsoil	silLow2	SIL	b12	p217	M1977	Ecotypes
M1960P1232	12_A_5.soil	12_A_5	soil	ecoGH	NA	2011	NA	Duke	SILsoil	soil	soil	b12	p213	M1960	Ecotypes
M1960P1241	12_B_10.soil	12_B_10	soil	ecoGH	NA	2011	NA	Duke	SILsoil	soil	soil	b12	p213	M1960	Ecotypes
M1960P1283	12_B_4.root	12_B_4	root	ecoGH	NA	2011	NA	Duke	SILsoil	par10A6	PAR	b12	p213	M1960	Ecotypes
M1955P776	12_C_3.root	12_C_3	root	ecoGH	NA	2011	NA	Duke	SILsoil	par9A2	PAR	b12	p208	M1955	Ecotypes
M1955P790	12_C_7.root	12_C_7	root	ecoGH	NA	2011	NA	Duke	SILsoil	silLow2	SIL	b12	p208	M1955	Ecotypes
M1955P779	12_C_9.root	12_C_9	root	ecoGH	NA	2011	NA	Duke	SILsoil	mah38B	MAH	b12	p208	M1955	Ecotypes
M1960P1262	12_D_8.root	12_D_8	root	ecoGH	NA	2011	NA	Duke	SILsoil	par10A6	PAR	b12	p213	M1960	Ecotypes
M1956P847	12_D_9.root	12_D_9	root	ecoGH	NA	2011	NA	Duke	SILsoil	silUpp2B	SIL	b12	p209	M1956	Ecotypes
M1956P869	13_A_1.root	13_A_1	root	ecoGH	NA	2011	NA	Duke	GRHsoil	mil54A	MIL	b13	p209	M1956	Ecotypes
M1690P1407	13_A_12.root	13_A_12	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow3	SIL	b13	p215	M1690	Ecotypes
M1959P1107	13_A_9.soil	13_A_9	soil	ecoGH	NA	2011	NA	Duke	GRHsoil	soil	soil	b13	p212	M1959	Ecotypes
M1977P1735	13_B_12.root	13_B_12	root	ecoGH	NA	2011	NA	Duke	GRHsoil	mil70A	MIL	b13	p217	M1977	Ecotypes
M1959P1117	13_B_6.root	13_B_6	root	ecoGH	NA	2011	NA	Duke	GRHsoil	jam22A	JAM	b13	p212	M1959	Ecotypes
M1958P1096	13_B_8.root	13_B_8	root	ecoGH	NA	2011	NA	Duke	GRHsoil	par10A6	PAR	b13	p211	M1958	Ecotypes
M1960P1255	13_C_10.root	13_C_10	root	ecoGH	NA	2011	NA	Duke	GRHsoil	par10A6	PAR	b13	p213	M1960	Ecotypes
M1956P912	13_C_11.root	13_C_11	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow3	SIL	b13	p209	M1956	Ecotypes
M1959P1145	13_C_3.soil	13_C_3	soil	ecoGH	NA	2011	NA	Duke	GRHsoil	soil	soil	b13	p212	M1959	Ecotypes
M1958P1022	13_D_12.root	13_D_12	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow6B	SIL	b13	p211	M1958	Ecotypes
M1958P1057	14_A_8.root	14_A_8	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow2	SIL	b14	p211	M1958	Ecotypes
M1958P1042	14_B_4.root	14_B_4	root	ecoGH	NA	2011	NA	Duke	GRHsoil	par9A2	PAR	b14	p211	M1958	Ecotypes
M1977P1742	14_C_5.soil	14_C_5	soil	ecoGH	NA	2011	NA	Duke	GRHsoil	soil	soil	b14	p217	M1977	Ecotypes
M1958P1049	14_D_10.root	14_D_10	root	ecoGH	NA	2011	NA	Duke	GRHsoil	mah16A	MAH	b14	p211	M1958	Ecotypes
M1959P1126	15_A_1.root	15_A_1	root	ecoGH	NA	2011	NA	Duke	GRHsoil	par9A2	PAR	b15	p212	M1959	Ecotypes
M1955P775	15_A_3.root	15_A_3	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow2	SIL	b15	p208	M1955	Ecotypes
M1956P866	15_A_4.root	15_A_4	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow2	SIL	b15	p209	M1956	Ecotypes
M1961P1302	15_A_6.root	15_A_6	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow3	SIL	b15	p214	M1961	Ecotypes
M1956P836	15_A_7.root	15_A_7	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silUpp2B	SIL	b15	p209	M1956	Ecotypes
M1956P862	15_B_1.root	15_B_1	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silUpp2B	SIL	b15	p209	M1956	Ecotypes
M1961P1311	15_B_3.root	15_B_3	root	ecoGH	NA	2011	NA	Duke	GRHsoil	silLow3	SIL	b15	p214	M1961	Ecotypes
M1956P835	15_B_8.root	15_B_8	root	ecoGH	NA	2011	NA	Duke	GRHsoil	jam6A	JAM	b15	p209	M1956	Ecotypes
M1957P1005	15_C_4.soil	15_C_4	soil	ecoGH	NA	2011	NA	Duke	GRHsoil	soil	soil	b15	p210	M1957	Ecotypes
